lh9, lh, Fail, QFSW, instr; exit code 0 (expected 13)
lhu10, lhu, Pass, QFSW, instr-nops; exit code 0
lhu11, lhu, Pass, QFSW, addr-null; exit code -11
lhu12, lhu, Fail, ChrisDeverall, getc-offset; exit code 0 (expected 72)
lhu1, lhu, Fail, QFSW, exit code 0 (expected 100)
lhu2, lhu, Pass, QFSW, misaligned; exit code -11
lhu3, lhu, Fail, QFSW, exit code 0 (expected 100)
lhu4, lhu, Pass, QFSW, zero-extension; exit code 0
lhu5, lhu, Fail, QFSW, exit code 0 (expected 3)
lhu6, lhu, Pass, QFSW, outofrange; exit code -11
lhu7, lhu, Fail, QFSW, getc; exit code 0 (expected 72)
lhu8, lhu, Pass, QFSW, putc; exit code -11
lhu9, lhu, Fail, QFSW, instr; exit code 0 (expected 13)
lui1, lui, Pass, QFSW, exit code 100
lui2, lui, Pass, QFSW, exit code 0
lui3, lui, Fail, QFSW, exit code 0 (expected 1)
lw10, lw, Fail, QFSW, data-bottom-boundary; exit code -11 (expected 0)
lw11, lw, Pass, QFSW, data-below-boundary; exit code -11
lw12, lw, Pass, QFSW, data-top-boundary; exit code 0
lw13, lw, Pass, QFSW, data-above-boundary; exit code -11
lw14, lw, Pass, QFSW, instr-bottom-boundary; exit code 0
lw15, lw, Pass, QFSW, instr-below-boundary; exit code -11
lw16, lw, Pass, QFSW, instr-top-boundary; exit code 0
lw17, lw, Pass, QFSW, instr-above-boundary; exit code -11
lw1, lw, Fail, QFSW, exit code 0 (expected 100)
lw2, lw, Pass, QFSW, misaligned word; exit code -11
lw3, lw, Pass, QFSW, uninitialised word; exit code 0
lw4, lw, Pass, ChrisDeverall, outofrange; exit code -11
lw5, lw, Fail, ChrisDeverall, getc; exit code 0 (expected 72)
lw6, lw, Pass, ChrisDeverall, putc; exit code -11
lw7, lw, Fail, ChrisDeverall, instr; exit code 0 (expected 13)
lw8, lw, Pass, QFSW, instr-nops; exit code 0
lw9, lw, Pass, QFSW, addr-null; exit code -11
lwl1, lwl, Pass, ChrisDeverall, aligned; exit code 15
lwl2, lwl, Pass, ChrisDeverall, misaligned1; exit code 34
lwl3, lwl, Fail, ChrisDeverall, misalignedby1byte1; exit code -1 (expected 102)
lwl4, lwl, Pass, ChrisDeverall, misalignedby2; exit code 111
lwl5, lwl, Fail, ChrisDeverall, misalignedby3; exit code 0 (expected 102)
lwl6, lwl, Pass, QFSW, addr-null; exit code -11
lwl7, lwl, Fail, QFSW, getc; exit code 0 (expected 72)
lwl8, lwl, Fail, QFSW, instr; exit code 0 (expected 14)
lwr1, lwr, Pass, ChrisDeverall, aligned; exit code 102
lwr2, lwr, Pass, ChrisDeverall, misaligned1; exit code 17
lwr3, lwr, Pass, ChrisDeverall, misaligned2; exit code 34
lwr4, lwr, Fail, ChrisDeverall, misaligned3; exit code 68 (expected 85)
lwr5, lwr, Fail, ChrisDeverall, getc; exit code 0 (expected 72)
lwr6, lwr, Pass, QFSW, addr-null; exit code -11
mfhi1, mfhi, Pass, ChrisDeverall, pos; exit code 15
mfhi2, mthi, Fail, ChrisDeverall, neg; exit code 0 (expected -22)
mfhi3, mfhi, Fail, ChrisDeverall, override; exit code -1 (expected 7)
mflo1, mflo, Pass, ChrisDeverall, pos; exit code 6
mflo2, mflo, Fail, ChrisDeverall, neg; exit code 0 (expected -6)
mflo3, mflo, Fail, ChrisDeverall, overridinghi; exit code 0 (expected 12)
mthi1, mthi, Pass, ChrisDeverall, pos; exit code 14
mthi2, mthi, Fail, ChrisDeverall, neg; exit code 0 (expected -20)
mtlo1, mtlo, Pass, ChrisDeverall, pos; exit code 5
mtlo2, mtlo, Fail, ChrisDeverall, neg; exit code 0 (expected -5)
mult1, mult, Pass, ChrisDeverall, standard; exit code 12
mult2, mult, Fail, ChrisDeverall, negative; exit code 0 (expected 35)
mult3, mult, Fail, ChrisDeverall, overflow; exit code 0 (expected -128)
mult4, mult, Pass, ChrisDeverall, overflow; exit code 0
multu1, multu, Pass, ChrisDeverall, standard; exit code 12
multu2, multu, Fail, ChrisDeverall, standard_large; exit code 0 (expected 127)
nopskp, internal, Pass, QFSW, detects-false-nopskp; exit code 69
numread1, function, Pass, QFSW, in=7; exit code 7
numread2, function, Pass, QFSW, in=12; exit code 12
numread3, function, Pass, QFSW, in=126; exit code 126
numwrite1, function, Pass, QFSW, in=7; exit code 0
numwrite2, function, Pass, QFSW, in=49; exit code 0
numwrite3, function, Pass, QFSW, in=666; exit code 0
numwrite4, function, Pass, QFSW, in=6969; exit code 0
